cig,label,score_raw_final,score_calib_final,rank_pct_global,rank_pct_within_U
689084592D,,0.0150689198728745,0.3491903056230739,69.21,71.92
7283835AC8,,0.0127621044914765,0.3475024058024149,63.76,66.27
6923521E42,,0.0073076184958013,0.3435266205789845,37.11,38.6
6838809BB5,,0.0075247068682385,0.3436844427390861,40.2,41.81
692087678B,,0.0072257097435849,0.3434670823036559,17.56,18.27
6901011E6B,1.0,0.0328586327052022,0.3623317619300156,86.35,
6899878772,,0.0112693986502103,0.34641222645843,59.86,62.22
69096897BD,,0.0112795331401789,0.3464196226401727,59.92,62.28
69228894BA,,0.0077123159972303,0.3438208614523065,43.01,44.73
685590147B,,0.0386909131559424,0.3666864653469826,88.55,91.43
6928492478,,0.0072257097435849,0.3434670823036559,17.56,18.27
6925919928,,0.0347121474795451,0.3637132898686568,87.08,90.0
6928583F8D,,0.0077492733447886,0.343847737777299,43.35,45.08
68934563D9,,0.0186360208579065,0.3518078068496674,76.83,79.77
6895177011,,0.0304523449635414,0.3605416118086549,85.17,88.14
68819951EF,,0.0150756630955927,0.3491952452197103,69.25,71.96
6914910C3D,,0.0096937817501453,0.345263240917732,53.55,55.68
690186927A,,0.0648596893966481,0.3864859764557493,93.81,96.31
6914805599,,0.0072764028702185,0.3435039298165525,36.28,37.73
69383435C5,,0.0080262976408294,0.3440492287345647,44.42,46.2
689443079D,,0.0088619044023793,0.3446573390173083,47.37,49.26
69001285C1,,0.028751833036764,0.3592788518803025,84.42,87.38
69203727A1,,0.0491591794765981,0.3745571301155812,91.06,93.83
801791726C,,0.040896845766202,0.3683392729380961,89.22,92.08
6927008BD3,,0.0075669033018446,0.3437151233440664,40.82,42.45
68330066ED,,0.0175815260249286,0.3510330936197449,75.13,78.05
68902340F9,,0.0161937660639061,0.3500147336775538,71.8,74.61
68829115D6,,0.0858611442293478,0.4026554931027554,95.9,97.93
6920298A8F,,0.0094377131132319,0.3450766784253743,52.01,54.08
6897541EE2,,0.0314484367806975,0.3612821842662142,85.65,88.62
6903890641,,0.007467480492062,0.3436428360975216,39.92,41.52
69345370F7,,0.0072257097435849,0.3434670823036559,17.56,18.27
6927068D56,,0.0138333216243723,0.3482857433023093,66.2,68.79
6904342B40,,0.0112683699107275,0.3464114756853615,59.84,62.2
6995225249,,0.0072764028702185,0.3435039298165525,36.28,37.73
6985156D12,,0.027686511188737,0.3584887598565748,84.0,86.95
6960551C62,,0.0072257097435849,0.3434670823036559,17.56,18.27
6936879DA1,,0.0105590675162141,0.3458940096903641,57.95,60.25
693671564D,,0.007995005684266,0.3440264660180543,44.25,46.02
7296730C12,,0.0178974211726242,0.351265092440393,75.7,78.62
6950743E90,,0.0144971387984263,0.3487715780913038,67.74,70.39
6951905D7A,,0.0200808987741643,0.3528705929075988,78.76,81.73
694708109A,,0.0095335077015258,0.3451464653691615,52.56,54.66
6943041AAD,,0.0072257097435849,0.3434670823036559,17.56,18.27
6899844B62,,0.0090719988065004,0.3448103147338611,48.76,50.7
6955621806,,0.0072257097435849,0.3434670823036559,17.56,18.27
6905864341,,0.0072257097435849,0.3434670823036559,17.56,18.27
694252400C,,0.0072257097435849,0.3434670823036559,17.56,18.27
