cig,score_mean,score_lower,score_upper,pc_mean,pc_lower,pc_upper,lift_vs_prior,percentile_rank
B0163BC157,0.350315,0.341779,0.391414,0.01446,0.013932,0.0172,0.723,61.0
8837284575,0.350314,0.341976,0.391414,0.01446,0.013944,0.0172,0.723,60.97
904445478C,0.35031,0.342197,0.391432,0.01446,0.013958,0.017201,0.723,60.93
056363999B,0.350309,0.342162,0.391432,0.01446,0.013956,0.017201,0.723,60.9
50743226FA,0.350304,0.341907,0.411271,0.014459,0.01394,0.018654,0.723,60.85
5140699F00,0.350304,0.341907,0.411271,0.014459,0.01394,0.018654,0.723,60.85
3795675219,0.350302,0.342039,0.391414,0.014459,0.013948,0.0172,0.723,60.8
6112771235,0.350297,0.341907,0.411271,0.014459,0.01394,0.018654,0.723,60.77
B293C19C7B,0.350283,0.341597,0.391414,0.014458,0.013921,0.0172,0.7229,60.72
023507238C,0.350283,0.342195,0.391414,0.014458,0.013958,0.0172,0.7229,60.72
A035FD18D7,0.350279,0.342265,0.391414,0.014458,0.013962,0.0172,0.7229,60.67
6817172C4A,0.350268,0.342201,0.391414,0.014457,0.013958,0.0172,0.7228,60.62
97643558A5,0.350268,0.342023,0.391414,0.014457,0.013947,0.0172,0.7228,60.62
B4858282A7,0.35026,0.341894,0.391414,0.014457,0.013939,0.0172,0.7228,60.57
4316659BAF,0.350256,0.341766,0.391414,0.014456,0.013932,0.0172,0.7228,60.53
7972412282,0.350246,0.341952,0.391414,0.014456,0.013943,0.0172,0.7228,60.5
9613127B59,0.350237,0.341951,0.391414,0.014455,0.013943,0.0172,0.7228,60.47
9932335621,0.350236,0.342044,0.391414,0.014455,0.013948,0.0172,0.7228,60.43
8554449AA0,0.350233,0.342231,0.391448,0.014455,0.01396,0.017202,0.7228,60.4
